threshold,tp,fp,tn,fn,precision,recall,f1
0.3,97,2773,53688,11,0.033797909407665506,0.8981481481481481,0.0651443922095366
0.5,93,722,55739,15,0.11411042944785275,0.8611111111111112,0.20151679306608883
0.7,90,204,56257,18,0.30612244897959184,0.8333333333333334,0.44776119402985076
0.8,88,82,56379,20,0.5176470588235295,0.8148148148148148,0.6330935251798562
0.9,85,49,56412,23,0.6343283582089553,0.7870370370370371,0.7024793388429753
0.95,77,35,56426,31,0.6875,0.7129629629629629,0.7
0.99,65,21,56440,43,0.7558139534883721,0.6018518518518519,0.6701030927835051
