threshold,tp,fp,tn,fn,precision,recall,f1
0.3,89,34,56427,19,0.7235772357723578,0.8240740740740741,0.7705627705627707
0.5,83,17,56444,25,0.83,0.7685185185185185,0.798076923076923
0.7,75,12,56449,33,0.8620689655172413,0.6944444444444444,0.7692307692307692
0.8,67,9,56452,41,0.881578947368421,0.6203703703703703,0.7282608695652174
0.9,63,5,56456,45,0.9264705882352942,0.5833333333333334,0.715909090909091
0.95,56,3,56458,52,0.9491525423728814,0.5185185185185185,0.6706586826347305
0.99,25,0,56461,83,1.0,0.23148148148148148,0.3759398496240602
